word,partOfSpeech,gloss
rukul,n,skin bag/fruit shrub tree
rang ya,adj,went out
rash,adj,only/exclaimation of finishing
roon,v,sents me
roos,v,sents him
ro,v,shake/work
rot,v,mix
rundus,n,maggot
rundwas,n,maggots
rabos,adj,everywhere
ra,n,hand/arm
raa,n,hands
rai lung,n,pot handle
rai yit,n,branch of tree
rai ucwa,n,right side
rai ukutyal,n,left side
ref,n,pillar
randong,n,cow
randwang,n,cows
rasman,adj,clear/make open
rot,v,mix/skin die
rol,n,a type of shrub
ron,n,strength that burst from the rock
ron,adv,sent me
roon,adv,moves me/shakes me
rong,n,type of trumpet
ram,n,person's nation
ramam,n,nations
rwish,v,boldness/spartan
rawul,n,potatoes
rawul i han,n,African potatoes
rang,n,ridge
ranggal,v,tie with rope
rangang,n,spider
ramwayat,n,riches/wealth
ruwin,n,wild cat
ruwit,v,sudden disappearing
ruwi',n,clan in Ron
rumung,v,murmur
rumunga,v,you (m) murmur
rumungu,v,you (pl m/f) murmur
rumungkan,v,murmur on us
sa,v,pass by
saa,adv,middle
sal,n,fertilizer/nartured
salla,v,nurtured you
sallu,v,nurtured you
sallun,v,nurtured me
sallus,v,nurtured him/them
sallut,v,nurtured her
sallush,v,nurtured you (f)
salkan,v,nurtured us
salnin,v,nurtured us
salsa,v,nurture you
salsut,v,nurture her
salshush,v,nurture you
salfwat,v,fold in pairs
sai,n,leg
sissai,n,legs
suɓut,v,congregation/ gathering
rikit,adj,confuse
ryot,v,silent
ryokot,v,mumbling speech
ra'ash,n,hip of stones in a farm
ri',n,famament
ri'fon,n,rain cloud
rwat,adj, instant breakage
rwan,adj,sound
ring ya,v,confused it
ruvwang,n,earth worm shit/a type of leave
ranzang,v,erect
rurwan,n,crown
rwyat,n,sharp edge of thatch grass that piece
rwa',adj,swift taking off
rwa,n,type of snake
ryap,adj,dying of light
ris,adj,watery ground
ringwish,v,mix beans with flower
riɓin,v,mix up with liquid
reket,v,standing firm
ranjang,v,standing arrogantly
rus,n,heap of dirt
ru,v,arrived
ruɓun,v,contermination
ruɓus,v,every kind pack together
ruruk,adj,rubble
rukumi,n,carmel
rusul,n,old single (m)
rut,v,rot
so,adj,gloat
syai gumet,n,beard
syai fo,n,monstatch
sapa,v,cleanse/purify
sapai,n,holy
se',v,abuse
sirim,n,herbs for soup
som,n,people
som ɓan,n,kinsmen/good people
siim,n,surface of skin/ likeness
sarra,v,becoming somebody to reckon with
sok,v,transplanting/ putting on best dress
sukuyat,v,witch crafting
sukwai,n,witchcraft
swyai,n,hole
swa,n,reffering to man both positive & negative connotation
suswai,n,holes
susso,v,ejecting with stick from a hole
sik,adv,no reason
sissi',adj,improvement from
sisya,adj,tall
sisya',v,sigh as a result of crying
sisya'an,v,continuous sighing as a result of crying
sirri',v,clean up by finger/by tongue
sisyar,n,root
syak,adj,very bright
sya',v,abuse(past tense)
sat,n,bath room
suttut,n,fungi/roast
sussuk,v,thresh
sir,n,nerve/ice
se,n,wind
siir,n,nausea
seng,n,good sense
saar,v,arranging/fixing fracture/extend a ship can stop to the sea shore
sya,n,hair
sufat,n,domestic animal/ riches
saf,adv,frequenting/constant
sangal,v,obstruction
seffi,n,young female domestic animal
sinzyau,n,tibia
swel,n,pipe use in the shrine
syip,v,in twos/double
siyo,v,just miss each other
sinzam,v,ready/prepare
saram,v,wip
sere',v,hit
sakal,v,intertwine
sakat,v,spelling/arrange
sakko,n,snake that looks like cobra
sarang,n,open field
sambarang,n,green part of tuber crop over heated by sun
sar,n,demacate with stalk of corn
saar,n,metres away from the sea shore/mending fracture
sha,v,refuse/withhold
shassa,v,refuse you
shassut,v,refuse her
shaha,v,refuse you
shaas,v,refuse him
shahus,v,refuse him
shanin,v,refuse us
shahut,v,refuse her
shahu,v,refuse you
shahush,v,refuse her
shakkan,v,refuse us
shiga',adj,compare/paired up
shak,adv,all/threshing by bitting
shishang,v,feeling on the skin
shukor,n,hen
shukon,n,vegetable
shiir,v,steal
shaar,n,urine
shekek,n,hooks
sheketek,adj,standing with torn clothes
shengengeng,adj,a state of lean person
shanggok,n,go to hell/tree that has thorn like hook
shig gira,n,tall container tin
shipship,adj,not serious/not seeing well
sheng,adj,lean
shwar,n,type of owl
shiken,n,goat
shukukwai,n,type of bird
shor,n,monitor lizard
shwong,v,immediate getting up
sya'a,v,abuse you
sya'u,v,abuse you (pl m/f)
sya'un,v,abuse me
sya'ush,v,abuse you (f)
sya'kan,v,abuse us
sya'ut,v,abuse her
sya'us,v,abuse him
sya'nin,v,abuse us
sya'anni,v,continue to abuse
sya'ansa,v,continue to abuse you
sya'ansu,v,continue to abuse you (pl m/f)
sya'ansun,v,continue to abuse me
sya'ansus,v,continue to abuse him
sya'ansut,v,continue to abuse her
sya'ansikan,v,continue to abuse us
sya'ansinin,v,continue to abuse us
sya'anshush,v,continue to abuse her
salɗaf,adj,inactive system
sul,n,weak
suul,n,uncooked turba food/ people affected by pandemic
sussuk,v,threshing
shwesh,adj,sting
shwe,v,reaction on wound/skin
shok,n,dry
shong,n,parasitic growth on parent body
shu,v,pour
shuhun,v,you pour (pl)…
shuha,v,you pour (m)…
shushi,v,you pour (f)…
shuhus,v,pour out
shukan,v,light us off
shunin,v,light us off
shum,n,suffer
shusho,n,shame
shushor,n,hyeneer
shushwa,n,sand
shunnun,n,my brothers & sisters (m/f)
shunnut,n,her brothers & sisters
shunnus,n,his brothers & sisters
shunna,n,your brothers & sisters
shaat,v,moaning
shindiring,adj,upside down
shwet,adj,shrink/dried
shit,n,eye/witness
shit ya,v,hide
shishat,n,eyes
shishi,n,toilet
shishi,n,owl
shipship,adj,seeing not clear
shash,n,picopine
shwenen,n,tinny worms (stomach parasite)
shang,v,know
shangi,v,to know
shanga,v,you know
shangu,v,knows you (pl m/f)
shangsa,v,knows you
shangsut,v,knows her
shangut,v,knows her
shangnin,v,knows us
shangkan,v,knows us
shangsus,v,knows him
shangsu,v,knows you (pl m/f)
shwa,v,pour
shwai,v,meet/junction
shwai ya,v,throwing away/ forgive
shwai yu,v,wait for you
shwai yun,v,wait for me
shwai nin,v,wait for us
shwai kan,v,wait for us
shwai yut,v,wait for her
shwai yush,v,wait for you (f)
shwai yus,v,wait for you (m)
shuk,v,instigate
shukka,v,instigate you
shukku,v,instigate you (pl)
shukkan,v,instigate us
shukkun,v,instigate me
shukkut,v,instigate her
shukkush,v,instigate you (f)
shuknin,v,instigate us
shuksa,v,instigate you
shuksus,v,instigate him/them
shuksut,v,instigate her
tambwish,n,blood from the nose/bottom particles of palm oil
tangkang,n, octopus
takal,n, local bag
takwang,n,a type of grass for taboo that separate
tanggo,n,evening
tanggoi,adj,in the evening
tang,n,ridge
tangang,n,ridges
tandalang,adj,flat
tanggul,v,gather
tanggulli,v,all in all
tanggullus,v,(m) gather at one place
tanggulhun,v,(pl m/f) gather yourself
tundwel,n,a type of animal
tintikash,n,hedgehog
tarfyau,n,giraffe
taf,v,vomit
ture,n,moon
takaju,n,closters stars
tiɗwut,n,type of bird
tiɗye,adj,by the rib side
tindwas,n,tick
tindol,v,gathering of reminant
tindak,v,she fall off
tinndak,v,stampit
to'a,v,you greet/greets you (m)
to'u,v,greets you (pl m/f)
to'un,v,greets me
to'kan,v,greets us
to'ush,v,greets you
to'sa,v,greets you
to'sus,v,greets him
shwen,adj,description of drink all
shanggam,n,cross
shoɗok,v,rise up a bit
sholo',v,not tiedly
shotot,adj,empty comb
shapuk,n,raincoat
shukur,n,a clan in Ron people
shaam,adj,reduce to putting off
shambwat,adj,incapacitated
shwong,adj,rise up quick
tabwa',n,messenger/apostle/ council member
tamwen,adj,in the morning
tarangol,n,clan in Alis i Ron
tangur,n,clan in Alis i Ron
takai,n,clan i Alis i Ron
tutwi,n,sheep
takfai,adv,later/after
tashash,n,liver
tarraf,v,struggling
tallas,n,hungry rice
tallas ti shit,n,pupil of the eye
tish,n,cashier tree
ti'kan,v,send us away
ti'sa,v,send you (m) away
ti'shush,v,send you (f) away
te,v,stay
tittal,v,run
tuf,v,spit
tel,v,cut
tella,v,you cut
tellu,v,cut you (pl m/f)
telsa,v,cut you
telsun,v,cut me
tellun,v,cut me
tellut,v,cut her
telnin,v,cut us
telsut,v,cut her
telshush,v,cut you
telleng,n,a distance
tabwat,v,shake off
tirim,adv,problem
tyor,adv,eying
tyora,adj,eyeing you
tyorun,adj,eyeing me
tyorut,adj,eyeing her
tyorus,adj,eyeing him
tyornin,adj,eyeing us
tyorkan,adj,eyeing us
tyorush,adj,eyeing you
tyorsa,adj,eyeing you
tyorsun,adj,eyeing me
tyon,adv,turn out to me
tyos,adv,turn out to be
tyot,adv,turn out to be to her
tor,v,stitch
to'su,v,greets you (pl m/f)
tot,v,judge
totta,v,you judge
tottat,v,complainings/ judgment
to thun,v, you (pl m/f) judge
tot kan,v,judge us
tot nin,v,judge us
ton,n,cave
taar,n,sweat
tor,n,germinate
toor,n,cold/caugh
toor,v,stitch
too',n,greet
tal,v,pay
talsa,v,pay you
talla,v,pay you
tallu,v,pay you (pl m/f)
talsun,v,pay me
talsut,v,pay her
talsus,v,pay him
talsinin,v,pay us (pl m/f)
talush,v,pay you (f)
talshush,v,pay her
talnin,v,pay us
talkan,v,pay us
talsikan,v,pay us
taya,n,courtyard
ti',v,stretch/escort/sent away
ti'un,v,send me away
ti'us,v,send him away
ti'nin,v,send us away
ti'ush,v,send you (f) away
tof,v,assembling of grain crop
tabyoros,n,watery dirt
taɓak,v,advise
taɓak sa,v,advise you
taɓak sut,v,advise her
taɓak sus,v,advise him
tekel,n,strange thing
takmwet,adj,slide
tyamba,v,'m' crying; asked to keep quiet
teshimba,v,'f' crying; asked to keep quiet
tecakat,v,'m' not to talk
teshicakat,v, 'f' not to talk
ti'fo,v,calling from a distance
titta,v,suffering/poverty/ sickness after you
tittus,v,suffering/poverty/ sickness after him
tittut,v,suffering/poverty/ sickness after her
tittush,v,suffering/poverty/ sickness after you
tittikan,v,suffering/poverty/ sickness after us
tuttuf,n,sprout from a stump
tudwaar,n,nail
tajan,n,senior male twins
toor,n,cough
taak,v,temporal/for a little while
taksan,adv,suffering
taɗas,v,burst/slap
tafo',adj,in the night
tara,adv,new thing
taral,v,spread
taren,adj,in the day
tut tur,v,gather
tuur,v,distant/
turun ya,adj,gloat
twyas,n,type of tree/gloat
tuk,v,push/send
tukka,v,push/send you
tukku,v,push/send you
tukkun,v,push/send me
tukkut,v,push/send her
tukkush,v,push/send you
tuknin,v,push/send us
tukkan,v,push/send us
tukta,v,push you
tuktut,v,push her
tuktus,v,push him
tuktush,v,push her
tussa,n,your sister
tussus,n,his sister
tussut,n,her sister
tushush,n,your sister
tulla,n,flat lang in the hills
tongsa,v,looked for you (mas)
tongshush,v,looked for you (fem)
tongu,v,looked for you (pl)
tongsut,v,looked for her
ufo',n,type of grasshopper
ufere',n,type of grasshopper
ucwan,n,type of bird
ucurik,n,finger ring
ukorom,n,type of mice
ujirim,n,cobweb
umatlang,n, long female lizard
umangu makwat,n,type of vegetable
undyala,n,small type of mice
umurguk,n,wall gecko
ula',n,type of vegetable
ufyam,n,type of grasshopper
ugutlung,n,type of grasshopper
uzarabong,n,type of female grasshopper
umbar,n,vegetable
uɗuko,n,viper
ukwang,n,a black insect on water
uwallal,n,type of snake
uhihyong,n,mantis
uhiɗyek,n, hiccup
unajan,n,senior female twins
unajin,n,junior female twins
ungisik,n,type of costume women tie on their waste
uggyak,n,limping
udau,n,lioness
ukaɓat,n,type of female grasshopper
titalbum,v,refugee
tangtitang,v,complaining/ fables
tut,n,group
twesh,n,growth on the surface of the skin
tyal,v,cut many times
tyalla,v,cut you many times
tyallu,v,cut you (pl m/f) many times
tyallun,v,cut me many times
tyallut,v,cut her many times
tyalnin,v,cut us many times
tyallus,v,cut him many times
tyalush,v,keep cutting you
tyalkan,v,keep cutting us
tyalansus,v,keep cutting him
tyalansut,v,keep cutting her
tyalansa,v,keep cutting you
tyalansun,v,keep cutting me
tyalansikan,v,keep cutting us
tyalansut,v,keep cutting her
tyalansinin,v,keep cutting us
vokshit,n,vulture
vo,v,close
vaat,n,small
vyar,n,a type of bush animal that has branches of horns
vit,v,winow/ nothing else
vwish,n,chaff of liquor bear
vwa,v,close/cover
vwa',v,eating on rush speed
vot,v,close/cover her
vohus,v,close/cover him
vohut,v,close/cover her
vonnin,v,close/cover us
vokkan,v,close/cover us
vwat,v,pursuing rat from tick grasses/spelt
vwattak,v,using cloth of branch with leaves to pursue
vwaat,v,quick response
vwelelel,v,severe
vwettet tet,adj,very hot
vup,v,grap
vuppa,v,grap you
vuppun,v,grap me
vupsa,v,grap you
vupsu,v,grap you ((pl m/f)
vupput,v,grap her
vupsut,v, grap you
vupsun,v,grap me
vupkan,v,garp us
vupsus,v,grap him
vupnin,v,grap us
vur,v,swoop
vurra,v,swoop you
vurrut,v,swoop her
ukikyos,n,sitting on foot
usulut,n,type of female cricket
upurya',n,type of grasshopper
unggisik,n,custuim (for women)
uduse',n,type of vegetable
utaɓuluk,n,type of vegetable
umwishgang,n,face up
ugipfo,n,face down
ush,v,sigh of relief from either good or bad
usharau,n,space within teeth
usissi',n,skin that pill off on fingers
ushash,n,ant
ukan,v,compition/competes
uzene,n,type of vegetable
vwapus,v,graps you
vwapun,v,graps me
vwapnin,v,graps us
vwapkan,v,graps us
vwaput,v,graps her
vwere',v,strangle
vwe',adj,very hot
vwiric,v,flare angrily
vuya,n,growth of infant to baby
vhek,n,peg
vhang,v,tied
wur,n,home
wang,v,fried
wa,v,went
watta,v,took you/went to…
wattu,v,took you
wattus,v,took him
wattut,v,took her
wattush,v,took you
wattikan,v,took us
wattinin,v,took us
warat,v,strip off
washat,v,cultural way of paying of dowry
wangan,n,madness
wanggai,n,colobus monkey
wayai,v,to glean
vursa,v,swoop you
vursu,v,swoop you
vursus,v,swoop him
vurnin,v,swoop us
vurkan,v,swoop us
vwaap,v,continue to grap
vwaappa,v,continue to grap you
vwaappun,v,continue to grap me
vwaappush,v,continue to grap her
vwaapnin,v,continue to grap us
vwaapput,v,continue to grap her
vwaapkan,v,continue to grap us
volok,v,pound
volo,n,thick grass
viling,v,moving grass blow by wind
vyakkakak,adj,with speed
vyam,v,snatch
vyamma,v,you (m) snatch
vyammut,v,you (f) snatch
vyamnin,v,snatch us
vyamkan,v,snatch us
vyammush,v,snatch you
vyammun,v,snatch me
vyamsus,v,snatch him
vyamsu,v,snatch you
vyamsa,v,snatch you
vyamsut,v,snatch her
vyas,v,close tied
vwap,v,graps
wash,n,blood/grandson/ spread
wash syahai,n,first grandson
wash amen,n,my grandson
wash ama,n,your grandson
wash aminin,n,our grandson
wash amukan,n,our grandson
wash amet,n,her grandson
wash ames,n,his grandson
washash,n,grand children
wis,v,get/find/meet
wei,n,front
wak,v,releases
wool,n,eagle
wur kwang,n,Ark
wurruk,v,to force out of a hole
wufyan,n,irrigation beds
wufen,n,land inhabited with people
walwish,n,most vicious/a type of ant
wallang,v,rings a big bowl
wallam,n,vegetable
wiwwish,v,violence
wiwwit,v,spin
wiwwita,v,you (m) spin
wiwwitsa,v,spin you
wiwwitush,v,spin you (f)
wiwwitnin,v,spin us
wuwwet,n,type of bird
wan,n,bees
wuzen,n,custuim by women
wubber,n,ridge for irrigation
wishil,n,termite
wanggai,n,chimpanzee
wuf,n,brain
wufer,n,debt
wufyar,n,debts
wongong,n,type of snake
worong,n,throat
wash rafan,n,chitter/tiger
wash ambal,n,bear
wil,n,year
wel,v,stray off
weer,v,retaliate
weerra,v,you (m) retaliate
weerrus,v,he retaliate
weerrut,v,retaliate for her
weersui,v,retaliate for you (pl m/f)
weersut,v,retaliate for her
weer rush,v,retaliate for you(f)
weersai,v,retaliate for you(m)
wiwwil,v,old/second value
wom,v,bethroned
woor,n,business
wo,v,drink
woo',n,he goat
wullung,v,disvirgin
wullum,v,manipulating
wuk,v,warn
yang assa,n,your farm
yang amukan,n,our farm
yang assus,n,his farm
yang assu,n,you (pl m/f) farm
yang assut,n,her farm
yang amesh,n,your (f) farm
yang ammes,n,his farm
yit,n,wood
yittat,n,woods
yamal,n,local container for sifting potassium
yit,n,tree
yittattai,n,species of trees
yor,n,old thatch grass/ building yam ridge
yong,v,dig/harvest potatoes
yash,adj,stay long
yiir,n,lake/sea/ocean
yiir,v,witchcraft
yan,n,gall bladder
yamwan,n,young lady
yamwan ti mara',n,virgin girl
yis,n,him
yes,v,come
yodor,adj,of been disappointed
yok,v,long throat
yangyang,adj,worse
yafung,n,a kind of grass with a pin head
yuur,adj,frequenting
yaar,v,mixed
yuyu,v,pet
wiwwitu,v,spin you (pl m/f)
wiwwitus,v,spin him
wiwwitkan,v,spin us
wiwwitsu,v,spin you (pl m/f)
wiwwitsus,v,spin him
wiwwitsut,v,spin her
wiwwilus,adj,old (m)
wiwwilut,adj,old (f)
wyal,v,strayed off line/ divertion
wyalan,v,continuous straying off line/keeps diverting
ya,n,bush/week
yal,n,stick
yal i mashak,n,threshing stick
yaf,v,provoke
yakal,v,mix up/emptied the under
yafsa,v,provoke you
yafsu,v,provoke you
yafsus,v,provoke him
yafsun,v,provoke me
yafshush,v,provoke her
yafsut,v,provoke you
yangon,n,maize
yang,n,farm
yangma,n,your farm
zuruk,n,filthy
zit,n,gum
ziɓit,adj,drain
zing,adj,an idiom use to withhold
zum,adj,whole
zwel,v,hang
zemeng,v,laziness
zaar,n,middle quantity
zarai,n,long pin on cock's leg/items for beauty on horse
zarabong,n,type of male grasshopper
zawang,n,type of horse
zul,v,pull
zulla,v,pull you
zullu,v,pull you (pl m/f)
zullun,v,pull me
zulsa,v,pull you (m)
zulsu,v,pull you
zulsut,v,pull her
zulsun,v,pull me
zullut,v,pull her
zullush,v,pull you (f)
zulhun,v,you (m) pull
zulkan,v,pull us
zot,v,hook
zuluk,v,turn out all
zwet,adj,hold tied/use to
zwes,adj, over watching
zangbung,v,pick a pick portion
zumbung,n,big umblican
yuyun,v,pet me
yuywa,v,pet you (m)
yuyut,v,pet her
yuyus,v,pet him
yuyush,v,pet you (f)
zalang,n,young(s) male single
zalang i mara',n,virgin male single
zan,v,take/pick
zanna,v, he picked you (m)
zannu,v,he picked you (pl m/f)
zannut,v,he picked her
zannin,v,he picked us
zankan,v,he picked us
zanush,v,he pick her
zansa,v, pick you (m)
zansu,v,pick you
zansus,v,pick him
zansut,v,pick her
zantiwei,v,enemity
zantihwem,v,fasting
zuf,v,select big one
ru'ut,v,put on her
ru'sut,v,put on her
ru'nin,v,put on us
ru'kan,v,put os us
ru'ush,v,put on you (f)
ru'shush,v,put on her
ru'kan,v,put on us
gu',v,cover
gu'a,v,cover you
gu'u,v,cover you (pl m/f)
gu'un,v,cover me
gu'ut,v,cover her
gu'nin,v,cover us
gu'ush,v,cover you
gu'kan,v,cover us
gu'sa,v,cover you
gu'sut,v,cover her
ngga',adj,direction/refuse
ngga'a,v,refuse you
ngga'u,v,refuse you
ngga'un,v,refuse me
ngga'ut,v,refuse her
ngga'us,v,refuse him
ngga'nin,v,refuse us
ngga'kan,v,refuse us
ngga'ush,v,refuse you
ngga'sa,v,refuse him
ngga'su,v,refuse them
ngga'sut,v,refuse her
ngga'sun,v,refuse them
ngga'nin,v,refuse us
mbo',v,press/cheat
mbo'a,v,press you
mbo'u,v,press you
mbo'un,v,press me
mbo'ut,v,press her
mbo'nin,v,press us
mbo'kan,v,press us
'ya,adj,expression of pains
ɓo',v,farming
de',v,plock
ho',n,eggs
ta',n,land/build
ma',n,bridge
fo',n,hungry rice
mangga',adv,about
mangbwu',n,local vine
fu',v,blow
fu'a,v,you can blow
fu'u,v,blow on you (pl m/f)
fu'un,v,blow on me
fu'ut,v,blow on her
fu'nin,v,blow on us
fu'ush,v,blow on you
fu'kan,v,blow on us
fya',n,kind of aquatic toad
ka',v,hold/shine
ka'nin,v,hold us
ka'ush,v,hold you
ka'shush,v,hold her
ru',v,cloth/put on
ru'a,v,you put on
ru'u,v,he puts on you (pl/m/f)
ru'hun,v,you (pl/m/f) put on
ru'us,v,he put on for him
ru'sa,v,put on for you
ru'un,v,put on me
mbwa',v,pressing hard
mbwa'a,v, press you (m) hard/cheat you
mbwa'u,v, press you (pl m/f) hard/cheats you
mbwa'un,v, press me hard/ cheats me
mbwa'ush,v, press you (f) hard/cheats you
mbwa'nin,v, press us hard/ cheats us
mbwa'kan,v, press us hard/ cheats us
mbwa'an,v, continuous pressing
mbya',v, urgent move/ pilled off/use to remember/remind
mbya'ani,v,keep remembering / reminding
oo',adj,something that scares
vya',v,very hot
mbo'ut,v,press her
mbo'ush,v,press you (f)
mbo'sa,v,press you (m)
mbo'sus,v,press him
mbo'sut,v,press her
mbe',v,counting/reading
ti',v, stretch out
dya',v, fetch
dya'a,v,fetch and give you
dya'u,v,fetch and give you (pl m/f)
dya'un,v,fetch and give me
dya'ut,v,fetch and give her
dya'sa,v,fetch and give you
dya'sut,v,fetch and give her
dya'sun,v,fetch and give me
dya'nin,v,fetch and give us
dya'kan,v,fetch and give us
dya'ush,v,fetch and give you
dya'us,v,fetch and give him
ndu',v, cook
mu',v, cool
male',v, uncountable
le'sa,v,curse you
le'un,v,curse me
le'ut,v,curse her
le'nin,v,curse us
le'kan,v,curse us
le'ush,v,curse her
mbe',v,think/remember/ count
