word,partOfSpeech,gloss
daaman,adj,state confussion
daaran,adj,staggering on …
dameng,n,a type of grass
damen,n,born premature seven months
dan,v,hold open
dang,v,deceive/breaking of trust
danga,v,deceives you
dangu,v,deceives you
dangun,v,deceive me (m)
dangut,v,deceive her
dangush,n,deceive you (f)
dangnin,v,deceive us (m/f)
dangus,v,deceive him (m/pl)
dangsus,v,deceive him/them (m/pl)
dangsut,v,deceive her (f)
dangshush,v,deceive her (f)
dangsinin,v,deceive us (pl)
datum,n,bow/type of spear
dash,adj,sit well/firm
de',v,plock
dee,n,father
dees,n,his father
deesh,n,your (f) father
deet,n,her father
DeeƁwe,n,God
cut ya,v,to clean it/work to finished
cuwira,v,he makes you go up and down
cuwirsa,v,he makes you go
cuwiru,v,he makes you (pl m/f/) go up and down
cuwirun,v,he makes me go up and down
cuwirut,v,he makes her go up and down
cuwirsu,v,he makes you (pl m/f) go up and down
cuwirsus,v,he makes him go up and down
cuwirkan,v,he makes us go up and down
cuwirnin,v,he makes us go up and down
cuwirush,v,he makes you (f) go up and down
cwa,n,food
cwai,v,eating
cwang,n,stick
cweleng,adj,a level of sweetness
cweng,adj,active
cwereng,n,wip
dumya,n,redeemed
dun,v,lack
dwyakat,n,water log place
dya,n,your father (m sg)
dya'a,v,fetch (m sg)
dya' shi,v,fetch (f sg)
deesh,n,your (f) father
dyou,n,your (pl) father(m/f)
dyuu,n,your father
ɗaɓal,v,become too much
ɗam mma,n,yourself (m)
ɗam mmes,adv,himself
ɗam mmesh,adv,yourself (f)
ɗam mmet,adv,herself
deen,n,my father(m/f)
deminin,n,our father (1st per pl)
demu,n,your father 	(2nd per pl)
demukan,n,our father
deshere',adj,out of shape
demeshesh,n,not neat
deshere'us,adj,out of shape (m)
deshere'ut,adj,out of shape (f)
dik,n,a type of guinea corn
diktiɗyus,adj,deceived himself
diktiɗyut,adj,deceived herself
diktiɗyush,adj,deceived yourself (f)
diktiɗywa,adj,deceived yourself
disyo',n,bless/blessed/good
dish,v,splash/procreate
dinggiling,n,dwingling
dor,v,mention
dukulum,n,smooth stone
dullus,v,man being naked/ pull him
dullush,v,pull you
dulla,v,pull you
dulhun,v,you (pl) pull
dullun,v,pull me
dulnin,v,pull us
dulkan,v,pull us
dumiya,v,redeeming; buying back slave
ɗeng,n,somebody
ɗing,v,see
ɗinga,v,sees you
ɗingu,v,sees you
ɗingut,v,sees her
ɗingun,v,sees me
ɗingsa,v,sees you
ɗingsu,v,sees you
ɗingsus,v,sees him
ɗingsut,v,sees her
ɗingnin,v,sees us
ɗingkan,v,sees us
ɗingshush,v,sees her
ɗin,adv,previous/before now
ɗingi,v,seeing
ɗingkyek,v,resemble
ɗo,v,roast, grill
ɗom,n,room
ɗong,adv,as punctuction
ɗoor,n,laying curse/malice
ɗoorkyel,v,come down/drop down
ɗos,v,match
ɗukwi,n,custuim
ɗuk,v,cut
ɗul,v,swallow/a drop
ɗullun,adv,give me(m) little
ɗullut,adv,give her(f) little
ɗulnin,adv,give us (m/f/pl) little
ɗulsa,adv,give you (m) little
ɗulsut,adv,give (f) little
ɗammafwashi,n,snake
ɗar,n,stomach
ɗarak,v,sleeping
ɗassa,adv,your own way (m)
ɗassut,adv,her own way  (f)
ɗassinnin,adv,our own way
ɗassu,adv,your (pl) way
ɗashush,adv,her own way
ɗat,n,beautiful/good
ɗatnin,adj,good for us
ɗatol,v,contribution
ɗatta,adv,good for you
ɗattu,adv,good to you (m/f)
ɗattun,adv,good to me
ɗattush,adv,good to you (f)
ɗatkan,adv,good for us
ɗandwet,v, suffered
ɗatkwa,adv,not good
ɗa'at,v,walking/journey
ɗaɓur,n,storage place in the ground
ɗafwar,v,courtship
ɗagyak,v,limping
ɗahan,v,farming
ɗakir,v,witchcraft
ɗikir,n,broken pot used as a dish for dogs
ɗam,n,thing
ɗak,adv,then
ɗakan,adv,later
ɗammat,v,burning
ɗandwet,v,suffer much
ɗandwish,adj,scratching
ɗashil,n,storage place for farm crops
ɗi,v,cook/mush “tuwo”
ɗyanga,v,seen you
ɗyangu,v,seen you
ɗyangani,v,use to see
ɗyangnin,v,seen us
ɗyangkan,v,seen us
ɗyangun,v,seen me
ɗyangush,v,seen you (f)
eleng,n,stone hued to close a tomb
fa,v,give
faffi,n,deo, dear, gazelle
fash,v,he gives you (f)
famulut,v,trust
fatimulut,v,faith
fat,v,gives her
faat,v,hit her
fan,v,gave me
fanna,v,give me
fayun,v,give me (m/f)
faayun,v,he use to give me/ hit me
fahayun,v,give me/hit me
fayus,v,give him (m)
ɗulsu,adv,give you(m/f) little
ɗulkan,adv,give us(m/f) little
ɗulshush,adv,give you (f) little
ɗullush,adv,give you (f) little
ɗwyat,adj,only
ɗu,adj,stinks
ɗol,adj,sad expression of bad deed
ɗom,n,room
ɗambe',v,thinking/counting
ɗya,n,gourd
ɗyap,adj,disappearing
ɗyarwal,adv,sudden disappearing
ɗufal,n,people
ɗo,v,roast/grill
ɗyush,adv,attitude of not giving attention (f)
ɗyus,adv,attitude of not
ɗywa,n,attitude of you not giving attention (m)
ɗyuu,n,attitude of not giving attention to yourselves (pl m/f)
ɗyut,n,attitude of not her giving attention
ɗayal,v,relocate seeking for survival somewhere
ɗyokokok,adj,state of been cool and chilly
ɗwak,v,continue cutting
ɗwakus,v,repeated cutting off (m)
ɗwakut,v,repeated cutting off (f)
ɗwakya,v,he repeatedly cut off
ɗwol,adv,a kind of delibrate
farai ti farai,adj,page by page
fata',n,sash/horse decoration
faas,v,slap him
fatal,n,sheath
fati,n,a type of olive tree
fwai,n,left over grains
fwang,v,protect/support/ cherish
fwanga,v,protect you
fwangu,v,protect you (pl)
fwangun,v,protect me
fwangsa,v,protect you
fwangsu,v,protect you (pl)
fwangsut,v,protect her
fwangkan,v,protect us (pl)
fwangush,v,protect you
fwangshush,v,protects you
fwangnin,v,protect us (pl)
fwaar,v,killings/falling
fwaran,n,kneel
fwal,v,beg
fwashash,adj,degree of been bad
fyal,v,sweep/wipe
fya',n,a type of toad
fe,n,children
fera,n,fingers
fen,n,inner room/bed room
fiɗya',n,ribs
fiɗyol,n,fats
fiir,n,ashes that is easily blow up away by the wind
fivit,v,fling off
fin,n,flesh that is remove from skin
faayus,v,he use to give him
fahayus,v,give him/hit him
fayut,v,give her
faayut,v,use to give her
fahayut,v,give her/hit her
fahus,v,give him
fahuyus,v,give him/hit him
faahus,v,use to hit him
faahuyus,v,you (pl) hit him
fahut,v,give her(f)
faiyut,v,use to give her/has giving her
fanin,v,give us
fainin,v,use to give us/has giving us
fashinnin,v,you (f) give us
faashinnin,v,you (f) hit each of us
faanin,v,hits us
fakan,v,he gives us
faakan,v,hits us
fahuyut,v,gives her
faahuyut,v,bit/hit her
fahut,v, give her
faahut,v,hits her
fahunnin,v,give us/hit each of us
faha,v,give you
faana,v,hit me
fagin,n,shirt
fagir,n,herb/door lid
fajin,n,chest
fankyel,v,give me chance
fakuut,n,contribution
faala,adv,easy
faar,v,hunting
farai,n,page
folok ya,v,annoy
fo',n,hungry rice
fur,v,fall
fu',v,blow
fufwaf,n,breasts
foikyel,n,entrance
fungvwar,n,a type of grass that has nods for food
fuma,n,compound
fukut,n,skin
fwet,adj,much
fwere,n,hill
foor,n,lap
fwol,n,soke pipe
fwish,adj,ingrate/without second thought
fyarap,adv,agitating
gaatol,n,rat
gamshik,n,claim what is not yours
garang,n,stiry
gyak,adj,limp
garrau,n,herb
gemet,adj,sigh of completeness
